rank	username	minecraft:picked_up/minecraft:coarse_dirt
1	thewindmillman	19834
2	Enderxz3	5756
3	noam464	5619
4	MyNameIsJobo	2898
5	EMC_	2849
6	Mr_Byzantine	2381
7	miramyu	2237
8	TheShyPig	2135
9	EveryonesUncle	1879
10	Werbe	1767
11	Legendosh	1643
12	500am	1581
13	milltesco	1568
14	ApophisNova	1473
14	MyNamaSheff	1473
16	Blackberry1310	1466
17	SpacesickPrism	1273
18	Kowcio_	1247
19	j5ylim	1235
20	Sral7	1147
21	Karbl	993
22	royal_2	956
22	ROY4LE	956
24	Kakolbus	928
25	pintsizedrogue	924
26	AspenLightVT	843
27	Merv__	818
28	_witch_craft_	800
29	Lez_	761
30	Saucepeh	752
31	PazinGaming	745
32	Manaateee	715
33	excelsionprime	674
34	Jovaphobic	655
35	SvenskaHugo	638
36	craaaash	630
37	Spacewardharpy7	628
38	luseis	625
39	2Stout	624
40	Caribouse	604
41	Steelynan	590
42	PhantomsGhost_	553
43	burbankbuilder28	549
44	TheSecondLord	548
45	Rebytre	545
46	Akoot_	528
47	Gzrdy	493
48	Mattesco	488
49	Mahoose	483
49	Fullut	483
51	Pumpkin_P_Patch	465
52	Hoid_the_Roamer	431
53	ECstardust	429
54	Touched_Bread	428
55	eitanzaki	414
56	OreTheBear	410
57	Eraxa	397
58	DarlaMeow	390
59	Secret_Canary	386
60	Paul_Katan	384
61	Frozil20	378
62	lordpipe	356
63	Segotep999	338
64	Yamdalorian	336
65	abramgray	329
66	Blaiku	320
67	Flex_Tape_Phil	301
68	Nicserso	295
69	EcksD	291
70	kekhon	285
71	FreakGenius	272
72	MilleGrug	265
73	CoffeeNoir	258
74	Historical_Sand	253
74	Doom_melon	253
76	Zaridey	244
77	rarrq	242
78	Inchef	237
79	Alteriity	226
80	Cowison	225
81	Dakar_	224
82	TachibanaAkira	221
83	El_Jalapeno	220
84	thescout7	215
84	Fizznut909	215
86	doublemaki	214
87	SaltineDream	212
88	_Dean_123	211
89	__tomato	209
90	xxPipperDipperxx	205
91	PlasticOtari	196
92	MAns_44	195
93	Fuad_R	192
94	hanaryheatwave	179
94	TheKingK_	179
96	Spaghettatron	176
97	T045RTY	175
98	Cryptacity	172
99	slkiey	170
99	philandr	170
99	oscminus	170
102	k_ce	169
103	bigstankyy	164
104	Karetoko	156
105	_Huge_Male_	150
106	Sleepy_Evelyn	148
107	Louiis123	147
108	GravitySaint	146
109	Soplight	145
110	Moofyman	144
111	hermmm_	143
112	m_be9	140
112	Jackattack53	140
112	SuperPooch06	140
115	doxicusmaximus	135
116	Dr0xzy	129
117	himak1	128
117	Chromary	128
119	ormkel	127
119	Parcc	127
121	Jimb0nat0r	124
122	DirtyDalle	120
122	set67	120
124	pixelviolin	114
125	Di_infiri	112
125	RobotMinion101	112
127	foxncat	111
128	PortlyPete69	108
129	CLG_Kata	106
129	ConnorDanky_	106
131	knarian	101
132	Winklepicker279	97
132	TheOnlyRake	97
134	Blu3beast	90
134	sp00ky_ghost977	90
136	CosmicStardustt	88
137	Deodorante	85
137	Buuck_	85
139	surfinggiraffejp	84
140	KingMatthew506	82
141	Pelbo	80
142	Groovy_MoonBird	79
142	MyMawgDonaldsGon	79
144	Meatlaugh	78
144	Factoroni	78
146	NameGenerat0r	75
147	Elastiq	72
147	Luigipunch989	72
149	mihimihimihi	71
150	J4k__	69
151	BumbleBeever	68
152	thebaddruid	66
153	ayamefag	65
154	w3nd3lbo3	64
154	2a1169f5-2eaf-4ab7-adff-73315e7d9ddf	64
154	ProbsNotNova	64
157	Biites	61
158	prizm_	60
158	potatocan	60
158	es0th	60
161	FiguraDei	59
162	Zedducius	58
163	Gus2005	57
163	CattSoup	57
165	__Fanda__	56
166	fffMike	55
167	Samificator	54
168	Crowman1	52
169	Hahaa_0	51
170	cutelilreno	48
170	TheBananaKat	48
172	Onennon	47
172	Kekoo	47
174	Ezekson	46
175	Bad_At_Names_Guy	45
175	legal_tax_evader	45
177	Huwulling	43
178	H0UNDFRMH3LL	42
178	Arceus1975	42
178	thgrocks	42
181	yheece	40
181	jnp_gaming	40
183	Galactic_Badger	38
183	ZeaBaron	38
185	DepressedCubic	37
185	beeperbeeper5	37
185	HellsSponge	37
188	MisfitsMike	35
189	Athenaeaen	34
190	Fildyr	33
191	rotten_mango	32
191	CacheOut	32
191	stellarjay	32
191	obzii	32
195	ImpavidArcher	31
195	Prismyst	31
195	Soap_Bender	31
198	Niklas20114552	30
198	GooseWithin	30
198	DairyNickel756	30
201	NotMeanttoChange	29
202	Hyp3rion_	28
202	Maenara	28
202	claivin	28
202	WyngGoy	28
206	Archsam	26
206	ZoomieZoomie	26
208	Snowflowe	25
208	_Mythic____	25
208	TheWickedBird	25
211	Tersea_	24
211	StylesK	24
211	CaptainSteve345	24
211	Kynigito	24
211	_TCARREIRA_	24
211	SpaceTurtleOX	24
217	LordZacler	23
217	Lord_Zacler	23
219	SteveCraftBlocks	21
219	Groundler	21
221	MattieHD	20
221	epiksk8erduck	20
221	CalebDHawk	20
224	SpicyMeatballs	18
224	cog	18
226	Stiar	17
226	mariominejedi	17
226	Skylord_Luke	17
226	wirelesstree	17
226	ebanana	17
226	The_slideV3	17
226	UrbanPlanningEx	17
233	Kubelz	16
233	QueenShuvi	16
233	Druid95	16
233	BubblyOrangutan	16
237	RatatJuice	15
237	Airem_Core	15
237	Optiprimus	15
237	ItsJunoIGuess	15
237	TechnoNinja64	15
242	TooManyDuck	14
242	IAmTheWalrus910	14
242	elliebelle107	14
245	Euclidoris	13
245	selectrix	13
245	AlexxO_o	13
245	lizardfightclub	13
245	Crumbls	13
245	ConnorTG5	13
251	Apollo_993	12
251	Malorn_Aetherius	12
251	Tongon	12
251	Ravenbie	12
251	SirPiccardo	12
251	DC_XII	12
251	JollyDroopy52	12
251	Jiminbub	12
251	Wolverine4302	12
251	FelixPSY375	12
261	PhantomBionic	11
261	kars0n	11
261	seramalen	11
261	Tyrannosplart	11
261	SwooshBoi	11
261	smogfrogg	11
267	Sheepwarder	10
267	SquadMonster	10
267	NieToksikpl	10
267	bl1ss0	10
267	Reneedium	10
267	bean__salad	10
267	Mr_Sun15	10
267	Forcolp	10
267	_Karmaa	10
276	Bandito_Roamer	9
276	Incinere	9
276	Fullbit_	9
276	Covalents	9
276	B3nzito	9
276	DJzombiehunter	9
276	Skippeh	9
276	h2p_emrld	9
284	Ze1ig	8
284	abdomera	8
284	ZigzagLily43042	8
284	eiC_	8
284	Juk3b0x	8
284	Eon_57	8
284	xzvu	8
284	Sheldor097	8
292	Marbz_	7
292	InchoateOyster	7
292	_flud	7
292	xX_Stalin69_Xx	7
292	diggydog67	7
292	00000000-0000-0000-0009-01ff0c3e5e4f	7
298	gren_ben	6
298	Hpdinosaur	6
298	cyuar	6
